seq	moe_id	unicode_hex	unicode_int	char
00661	A00661	U+55FE	22014	嗾
00662	A00662	U+5600	22016	嘀
00663	A00663	U+561B	22043	嘛
00664	A00664	U+5617	22039	嘗
00665	A00665	U+55FD	22013	嗽
00666	A00666	U+5614	22036	嘔
00667	A00667	U+5606	22022	嘆
00668	A00668	U+5609	22025	嘉
00669	A00669	U+560D	22029	嘍
00670	A00670	U+560E	22030	嘎
00671	A00671	U+55F7	22007	嗷
00672	A00672	U+5616	22038	嘖
00673	A00673	U+561F	22047	嘟
00674	A00674	U+5608	22024	嘈
00675	A00675	U+562E	22062	嘮
00676	A00676	U+563B	22075	嘻
00677	A00677	U+5639	22073	嘹
00678	A00678	U+5632	22066	嘲
00679	A00679	U+563F	22079	嘿
00680	A00680	U+5629	22057	嘩
00681	A00681	U+5653	22099	噓
00682	A00682	U+564E	22094	噎
00683	A00683	U+5657	22103	噗
00684	A00684	U+5674	22132	噴
00685	A00685	U+5636	22070	嘶
00686	A00686	U+562F	22063	嘯
00687	A00687	U+5630	22064	嘰
00688	A00688	U+5659	22105	噙
00689	A00689	U+566B	22123	噫
00690	A00690	U+5679	22137	噹
00691	A00691	U+5669	22121	噩
00692	A00692	U+5664	22116	噤
00693	A00693	U+5678	22136	噸
00694	A00694	U+5634	22068	嘴
00695	A00695	U+566A	22122	噪
00696	A00696	U+5668	22120	器
00697	A00697	U+5665	22117	噥
00698	A00698	U+5671	22129	噱
00699	A00699	U+566F	22127	噯
00700	A00700	U+566C	22124	噬
00701	A00701	U+5662	22114	噢
00702	A00702	U+568E	22158	嚎
00703	A00703	U+5680	22144	嚀
00704	A00704	U+5690	22160	嚐
00705	A00705	U+5685	22149	嚅
00706	A00706	U+5687	22151	嚇
00707	A00707	U+568F	22159	嚏
00708	A00708	U+5695	22165	嚕
00709	A00709	U+56AE	22190	嚮
00710	A00710	U+56A5	22181	嚥
00711	A00711	U+56A8	22184	嚨
00712	A00712	U+56B7	22199	嚷
00713	A00713	U+56B6	22198	嚶
00714	A00714	U+56B4	22196	嚴
00715	A00715	U+56BC	22204	嚼
00716	A00716	U+56C1	22209	囁
00717	A00717	U+56C0	22208	囀
00718	A00718	U+56C2	22210	囂
00719	A00719	U+56C8	22216	囈
00720	A00720	U+56CA	22218	囊
00721	A00721	U+56C9	22217	囉
00722	A00722	U+56CC	22220	囌
00723	A00723	U+56D1	22225	囑
00724	A00724	U+56DB	22235	四
00725	A00725	U+56DA	22234	囚
00726	A00726	U+56E0	22240	因
00727	A00727	U+56DE	22238	回
00728	A00728	U+56EA	22250	囪
00729	A00729	U+56F0	22256	困
00730	A00730	U+56E4	22244	囤
00731	A00731	U+56FA	22266	固
00732	A00732	U+5703	22275	圃
00733	A00733	U+5708	22280	圈
00734	A00734	U+570B	22283	國
00735	A00735	U+570D	22285	圍
00736	A00736	U+5712	22290	園
00737	A00737	U+5713	22291	圓
00738	A00738	U+5718	22296	團
00739	A00739	U+5716	22294	圖
00740	A00740	U+571F	22303	土
00741	A00741	U+5733	22323	圳
00742	A00742	U+5730	22320	地
00743	A00743	U+5728	22312	在
00744	A00744	U+572D	22317	圭
00745	A00745	U+572C	22316	圬
00746	A00746	U+572F	22319	圯
00747	A00747	U+574A	22346	坊
00748	A00748	U+5751	22353	坑
00749	A00749	U+5740	22336	址
00750	A00750	U+574D	22349	坍
00751	A00751	U+5747	22343	均
00752	A00752	U+574E	22350	坎
00753	A00753	U+573E	22334	圾
00754	A00754	U+5750	22352	坐
